"","FIPS","E.Hesitant","E.Hesitant/Unsure","E.V.Hesitant","Hispanic","Native","Asian","Black","Hawaiian.Pacific","White","State","Pov","Unemp","Income","NoHSDP","Age65","Age17","Disab","SNGPNT","MINRTY","LIMENG","MUnit","Mobile","Crowd","NoVeh","GroupQ","RUCC","R.Years","D.Years","R.Cycles","D.Cycles","2020"
"1",1123,0.1806,0.24,0.1383,0.0242,0.0022,0.0036,0.2697,0,0.6887,"AL",20.3,10.4,23655,19.5,20.4,21.1,19,10,31.1,0.2,3.3,18.1,3,9,1.5,6,21,0,6,0,"REPUBLICAN"
"2",1121,0.1783,0.235,0.1368,0.0229,0.0043,0.0061,0.3237,3e-04,0.6263,"AL",19.9,8.8,22498,19,17.1,21.5,19.3,10.4,37.1,0.5,2.3,23.6,1.3,7.9,4.2,4,21,0,6,0,"REPUBLICAN"
"3",1131,0.1735,0.2357,0.1337,0.0053,9e-04,3e-04,0.6938,0,0.2684,"AL",31.1,15.5,16584,23.1,18.4,24.4,18.4,7.3,73.2,0.7,0.2,40.4,0.9,16.1,2.4,9,0,21,0,6,"DEMOCRAT"
"4",1129,0.1735,0.2357,0.1337,0.0146,0.0731,0.0025,0.2354,0,0.6495,"AL",21,8.5,22776,19.6,18.3,22.2,24.5,7.6,34.9,0.5,0,30.9,3.1,3.7,0.9,8,21,0,6,0,"REPUBLICAN"
"5",1133,0.1805,0.2313,0.1379,0.0315,0.0034,0.0016,0.0073,5e-04,0.937,"AL",16.2,7.6,21799,21.9,21.1,20.9,25.2,7.3,6.1,0.5,1.9,27.4,1.1,7.1,1.6,6,21,0,6,0,"REPUBLICAN"
"6",1127,0.1855,0.2404,0.1431,0.0249,0.0015,0.0049,0.0617,0,0.8895,"AL",19.7,8.8,22772,19.1,18.6,22.3,24.1,7.5,10.9,0.6,1,29.3,2,5.7,1.4,1,21,0,6,0,"REPUBLICAN"
"7",2013,0.2361,0.2884,0.1704,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,"AK",15.4,3.5,32510,13.6,8.8,14.2,8.5,14.1,85,13.1,3.8,4.3,2.6,23,34.7,9,21,0,6,0,"REPUBLICAN"
"8",2016,0.2361,0.2884,0.1704,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,"AK",8.5,2,37070,11.2,5.8,16.7,7.7,10.1,75.8,8.3,16.6,0.8,10.6,16.4,23.8,9,6,15,3,3,"DEMOCRAT"
"9",1125,0.16,0.2197,0.1205,0.0372,0.0016,0.0161,0.3189,4e-04,0.6155,"AL",17.4,6.3,26064,11.6,12.5,20.9,12,10.7,38,0.9,15.9,9.8,1.6,5.8,5,3,21,0,6,0,"REPUBLICAN"
"10",13165,0.1623,0.2462,0.1043,0.0817,0.0025,0.0111,0.3491,0,0.5467,"GA",29.3,4,16089,20.7,16.8,23.1,14.4,9.7,44,3.1,0,27.1,2.4,11.2,0.8,6,21,0,6,0,"REPUBLICAN"
"11",13167,0.1728,0.2541,0.1117,0.0247,0,0.0022,0.3315,0,0.624,"GA",22.6,9,20773,22.8,17.7,19.8,18,8.1,37.4,0.1,3.3,27.4,4.8,11.3,2.5,7,21,0,6,0,"REPUBLICAN"
"12",13159,0.1588,0.2245,0.1006,0.0392,6e-04,0.0029,0.2039,0,0.7421,"GA",17.8,6.6,19999,21.4,16.9,23.9,17.6,6.7,26.1,0.7,0.3,20.9,3.4,5.7,0.6,1,21,0,6,0,"REPUBLICAN"
"13",13161,0.1864,0.2692,0.1219,0.1212,0,0.0023,0.1641,0,0.7085,"GA",20.6,5.9,18042,22.3,15.3,27,16.6,11.7,28.6,2.2,1.7,34,4.5,9,0.9,7,21,0,6,0,"REPUBLICAN"
"14",13169,0.1478,0.2184,0.0935,0.0167,0.0017,0.0075,0.2456,0,0.7143,"GA",15,7.4,25725,12.6,16.6,23.7,14.8,9.1,28.4,0,0.4,21.4,1.3,4.8,1,3,21,0,6,0,"REPUBLICAN"
"15",13163,0.1623,0.2462,0.1043,0.0384,0.0015,0.0031,0.5311,0,0.4201,"GA",24.8,6.9,18764,24.9,17.4,23.8,15.4,10.1,58.1,0.7,0.2,28,2.7,13.3,3.4,6,6,15,1,5,"REPUBLICAN"
"16",13321,0.1624,0.2374,0.1034,0.022,0.0038,0.0079,0.2801,3e-04,0.673,"GA",20.8,6.5,23517,18.7,18.1,23.2,17.5,12.5,32.7,0.5,1.4,32.1,0.6,6.4,0.8,3,21,0,6,0,"REPUBLICAN"
"17",13305,0.1864,0.2692,0.1219,0.0626,7e-04,0.0061,0.2024,0,0.7117,"GA",19.6,7.6,21067,18.1,15,24.8,16.3,7.6,28.8,1.6,1.5,30.9,2.9,8.8,7.1,6,21,0,6,0,"REPUBLICAN"
"18",15001,0.0638,0.1031,0.0334,0.1273,0.0018,0.2184,0.0058,0.1108,0.3031,"HI",16.6,5.9,29253,7.6,19.3,21.9,13.7,8,69.6,2.8,8.4,0.3,6.7,5,1.7,5,0,21,0,6,"DEMOCRAT"
"19",13303,0.1623,0.2462,0.1043,0.0248,5e-04,0.0067,0.5263,0,0.4253,"GA",26.6,7.4,19579,19.8,16.7,22.2,17.9,11.2,57.1,0.7,0.6,32.2,2.5,8,9,7,8,13,2,4,"REPUBLICAN"
"20",13313,0.1527,0.2212,0.0956,0.3511,0.0025,0.0144,0.0376,0,0.5843,"GA",17.8,6.3,23271,30.6,13.5,26.4,10.9,9.5,40.9,10.1,6.8,14.4,6.5,6.2,1.3,3,21,0,6,0,"REPUBLICAN"
"21",13311,0.1469,0.2076,0.0934,0.0325,0.0043,0.0058,0.0146,0,0.923,"GA",13.8,4.2,25617,14.9,21.5,20.2,16.4,5.2,7.6,0.8,1.2,16.3,1.1,2.4,1.4,6,21,0,6,0,"REPUBLICAN"
"22",13315,0.1728,0.2541,0.1117,0.0466,0.0039,0,0.3548,0,0.5851,"GA",22,7,14829,17.7,16.4,19.1,15.7,8,41.6,1.7,0.9,28.5,2.2,4.9,23.8,8,21,0,6,0,"REPUBLICAN"
"23",15003,0.0507,0.0848,0.0275,0.0985,0.0013,0.4173,0.0225,0.0893,0.1837,"HI",8.7,4.3,35202,8.3,16.9,21.4,10.9,6.1,81.5,5.5,30.6,0.1,9.4,9.7,3.8,2,0,21,0,6,"DEMOCRAT"
"24",13309,0.1864,0.2692,0.1219,0.0014,0,0,0.4339,0,0.5618,"GA",26.8,11,12292,22,13.9,16.9,14.5,4.7,43.9,0.2,0.9,31.8,3.3,12.2,16.7,9,21,0,6,0,"REPUBLICAN"
"25",13317,0.1623,0.2462,0.1043,0.0506,0,0.0039,0.4259,0,0.5093,"GA",23.9,4.3,23198,19.5,22.8,20.8,17.6,9.4,49,2.2,0.3,19.9,0.3,12.8,1,6,21,0,6,0,"REPUBLICAN"
"26",13307,0.1556,0.2329,0.0991,0.0874,0.0034,0,0.372,0,0.5184,"GA",25.3,2.2,21586,22.5,20.9,23.9,15.2,12.1,50.5,1.8,0.6,43.8,0.5,7.4,0.2,8,18,3,4,2,"REPUBLICAN"
"27",13319,0.1478,0.2184,0.0935,0.0287,0.0012,0,0.3895,6e-04,0.567,"GA",25,7.2,21403,15.5,18.2,23,15,8.6,43.3,0.5,0,32.9,2.3,8,1.2,8,20,1,5,1,"REPUBLICAN"
"28",21031,0.2053,0.2637,0.1375,0.0328,0.0016,0.0031,0.0055,4e-04,0.9471,"KY",19.4,6,22597,21.9,17.7,22.3,21.9,8.8,5.1,1.8,1.5,25.6,2.3,6.5,1.7,3,21,0,6,0,"REPUBLICAN"
"29",21041,0.169,0.2127,0.1103,0.0678,0.0032,0.0033,0.028,0,0.8865,"KY",25.7,9,23546,22.2,15,25.9,16.9,9.5,11.3,0.9,0.8,21,4.9,7,3.1,6,21,0,6,0,"REPUBLICAN"
"30",21021,0.1889,0.2392,0.1251,0.0332,0.003,0.0084,0.0792,0,0.854,"KY",14.4,4.7,24933,12.8,18.2,20.2,16.7,7.9,14.4,0.7,1.7,6.5,1,6.7,9.9,7,21,0,6,0,"REPUBLICAN"
"31",21051,0.221,0.2796,0.1503,0.0256,0.0012,0,0.0358,4e-04,0.9258,"KY",38.6,10.5,15063,35.7,14.3,21.3,27.3,8.5,7.4,0.2,0.9,31.6,3.7,13.2,7.3,7,21,0,6,0,"REPUBLICAN"
"32",21043,0.1975,0.2492,0.1302,0.0136,0.0046,0.0011,0.0054,1e-04,0.9665,"KY",25.9,7.8,17782,21.9,17.8,22.5,19.8,9.3,3.3,0.2,2.3,31.7,2.2,5.9,2.6,6,19,2,5,1,"REPUBLICAN"
"33",21033,0.1972,0.2532,0.1314,0.025,0,0,0.0627,0,0.9088,"KY",15.9,5,28500,12.1,20.4,22.4,22.2,7.9,9.1,0.2,3,14.9,3.1,5.1,1.2,7,21,0,6,0,"REPUBLICAN"
"34",21035,0.1792,0.229,0.1171,0.0272,0.0031,0.011,0.0349,0.0023,0.8965,"KY",22.8,5,22489,10.9,16.6,18.2,15.3,6.6,10.3,0.5,6.6,12.8,1.2,6.3,9.3,7,21,0,6,0,"REPUBLICAN"
"35",21019,0.1975,0.2492,0.1302,0.0182,6e-04,0.003,0.0229,3e-04,0.931,"KY",19.1,9,25467,11.5,18.5,21.3,22.4,9.8,6.8,0.1,6.6,11.3,0.8,8.8,4.1,2,20,1,5,1,"REPUBLICAN"
"36",21049,0.1874,0.2378,0.1225,0.0291,0.0015,0.0061,0.0458,0,0.9015,"KY",15.6,6,27416,14.6,17.2,22.5,18.4,10.4,9.8,1,4.5,9,2.2,6.3,1.2,2,21,0,6,0,"REPUBLICAN"
"37",23027,0.0948,0.1285,0.078,0.0148,0.0044,0.0046,0.005,0,0.9517,"ME",13.9,5.6,28860,7.6,21.1,19,16.9,8.2,4.4,0.1,1,12.4,2,5.4,1.7,6,1,20,1,5,"DEMOCRAT"
"38",25005,0.0572,0.0853,0.0417,0.0799,5e-04,0.0226,0.0394,4e-04,0.8128,"MA",11.5,5.8,34226,15.1,16.3,20.9,14.2,10.1,18.1,4.2,8.9,1.3,1.4,10.7,2.8,1,0,21,0,6,"DEMOCRAT"
"39",25025,0.0442,0.0693,0.0317,0.2289,0.0018,0.0877,0.2011,5e-04,0.4487,"MA",19.3,7,40190,14.5,11.5,16.9,12.3,9.7,55,10.4,31.5,0.2,3.6,32.4,6.2,1,0,21,0,6,"DEMOCRAT"
"40",25027,0.049,0.0729,0.0356,0.1149,0.0017,0.0489,0.045,3e-04,0.7638,"MA",10.4,5.5,36169,9.6,14.9,21.5,12,8.4,22.9,3.3,11.2,0.8,2.1,9.2,3.6,2,0,21,0,6,"DEMOCRAT"
"41",26005,0.1072,0.1841,0.0664,0.0735,0.0031,0.0069,0.0123,0,0.8843,"MI",10.3,3.2,28073,9.3,15.6,24.6,10.3,7.5,11.4,0.7,2.8,11.4,2.1,4.3,1.1,4,21,0,6,0,"REPUBLICAN"
"42",26001,0.0976,0.1717,0.06,0.015,0.0058,0.0019,0.004,7e-04,0.9578,"MI",16,8.9,25219,11.4,35.5,13,23.3,4,4.2,0.2,0.8,11.6,1,4,1.3,9,21,0,6,0,"REPUBLICAN"
"43",26003,0.1087,0.1903,0.0665,0.0157,0.0365,0.0014,0.0767,0,0.836,"MI",11.6,6.5,21773,10.8,24.3,15.2,17.3,4.7,16.2,0.3,2.6,6.3,1.3,6.6,11.3,7,16,5,4,2,"REPUBLICAN"
"44",26015,0.0962,0.1711,0.0593,0.0295,0.0037,0.006,0.0051,1e-04,0.9413,"MI",8.7,5.2,28783,7.3,17.7,22.5,12.3,7.7,5.7,0.3,2,7,1.9,3.5,1.2,2,21,0,6,0,"REPUBLICAN"
"45",26013,0.095,0.169,0.0584,0.0159,0.0979,0.004,0.093,6e-04,0.7263,"MI",16.4,6.4,20698,11.2,20.8,18.2,17.3,8.7,27.1,0.1,1.8,7.7,2.6,6.3,15.5,9,21,0,6,0,"REPUBLICAN"
"46",26011,0.1033,0.1808,0.0645,0.0202,0.0127,0.0036,0.0041,0,0.9464,"MI",18.2,9.6,23374,12.6,23.6,18.2,21,7.3,5.2,0.3,1.7,14,1.4,5.7,1.4,8,15,6,3,3,"REPUBLICAN"
"47",26017,0.0932,0.1634,0.0571,0.0533,0.0027,0.0058,0.0167,0,0.9006,"MI",16,6.9,26644,10.4,19.1,20.7,15.8,10.2,9.8,0.3,6,5,0.8,8,1.4,3,11,10,2,4,"REPUBLICAN"
"48",26035,0.1102,0.1983,0.0688,0.0201,0.0056,0.0012,0.0062,0,0.9481,"MI",23.5,10.1,21717,15.3,23,19.8,23.2,7.1,5.1,0.6,1.8,16,2.5,8.1,1.5,6,17,4,4,2,"REPUBLICAN"
"49",26027,0.099,0.1737,0.0608,0.0389,0.0104,0.0084,0.0515,0,0.8613,"MI",12.1,6.7,29923,12.1,19.8,21,17.9,8.7,13.8,0.3,1.6,8.5,2.5,4.4,0.8,2,18,3,5,1,"REPUBLICAN"
"50",26037,0.0842,0.146,0.0507,0.0453,0.0015,0.0149,0.0181,0,0.8989,"MI",9.3,4,33568,5.8,16,22.8,12.5,6.3,9.9,0.5,7.6,6.8,0.8,2.7,0.9,2,18,3,5,1,"REPUBLICAN"
"51",26045,0.0842,0.146,0.0507,0.0539,0.005,0.023,0.0658,3e-04,0.8284,"MI",10.7,5.3,31982,6.1,17.4,21.3,16,8.6,16.9,1.1,11.4,5.1,1.8,5.1,1.6,2,14,7,4,2,"REPUBLICAN"
"52",26043,0.095,0.169,0.0584,0.0157,0.009,0.0065,0.0062,0,0.9493,"MI",13.3,4.4,28020,5.2,21.4,20,18.3,7.6,4.8,0.2,4.2,5.6,1.4,7.2,1.6,7,21,0,6,0,"REPUBLICAN"
"53",26053,0.095,0.169,0.0584,0.0146,0.0254,0.0054,0.0386,8e-04,0.901,"MI",18.1,5.6,24325,6.7,24.6,15.5,15.2,7.2,10.4,0.2,4.4,3.7,0.6,10.2,9.6,7,11,10,2,4,"REPUBLICAN"
"54",26029,0.1025,0.1774,0.063,0.02,0.0152,0.0049,0.0042,5e-04,0.9374,"MI",10.8,4.5,32559,6.4,23,19.6,14.3,6.7,6.2,0.3,4.3,6.5,0.7,5.4,1.3,7,21,0,6,0,"REPUBLICAN"
"55",26051,0.1033,0.1808,0.0645,0.0169,0.004,0.0052,0.0028,0,0.9578,"MI",18.2,7,24594,13.3,25.9,19.3,21.2,6.5,4,0.4,2.2,14.7,2,7.8,1,6,18,3,5,1,"REPUBLICAN"
"56",26041,0.1087,0.1903,0.0665,0.0137,0.0196,0.0043,0.0034,1e-04,0.9287,"MI",13.3,5.3,26852,6.1,22.7,20.1,18.2,9.1,6.9,0.1,4.4,7.5,1.4,8.1,1.6,5,18,3,5,1,"REPUBLICAN"
"57",26031,0.0976,0.1717,0.06,0.0144,0.0205,0.0043,0.0079,0,0.9206,"MI",14.8,8.2,25876,9.4,26.1,17.1,19.5,6.5,7.8,0.2,1.8,8.3,1.2,5.1,1.2,7,21,0,6,0,"REPUBLICAN"
"58",26055,0.0882,0.153,0.0537,0.0286,0.009,0.0058,0.0086,3e-04,0.9259,"MI",10.1,4.9,33754,4.8,18.4,20.6,12.5,7.8,7.4,0.5,7,7.8,1.7,5.1,2.7,5,21,0,6,0,"REPUBLICAN"
"59",26049,0.1073,0.1964,0.0658,0.0344,0.0032,0.0103,0.1954,1e-04,0.7244,"MI",19.8,9.8,26386,9.6,16.6,23,16.7,11.7,27.5,0.4,8.7,5,1.3,8.8,1.3,2,0,21,0,6,"DEMOCRAT"
"60",26033,0.1087,0.1903,0.0665,0.0188,0.1391,0.0099,0.0593,9e-04,0.6962,"MI",18.5,9.3,23310,10.2,17,18.6,18.3,9.3,30.2,0.5,5.4,9.4,0.7,8.8,10.4,7,21,0,6,0,"REPUBLICAN"
"61",26039,0.0976,0.1717,0.06,0.0201,0.003,0.0093,0.0074,0,0.9452,"MI",15.4,8.2,24884,11,24.6,18,21,7.1,5.3,0.2,1.2,10.6,1.4,5.7,1.5,7,21,0,6,0,"REPUBLICAN"
"62",26047,0.1025,0.1774,0.063,0.0166,0.029,0.0056,0.0073,9e-04,0.9116,"MI",9.5,5,32455,6.2,20.9,19.9,12.9,7.8,8.8,0.2,6,5.7,1.2,5.9,1.5,7,21,0,6,0,"REPUBLICAN"
"63",26085,0.1047,0.1816,0.0644,0.0261,0.0089,0.0021,0.0793,2e-04,0.8498,"MI",23.8,12.2,19012,17,27.3,16.4,25.8,4.9,15.3,0.2,0.5,26.9,1.7,8,3,9,11,10,2,4,"REPUBLICAN"
"64",26087,0.0987,0.1711,0.0611,0.0467,0.003,0.0056,0.0126,3e-04,0.9177,"MI",10.1,6.4,28309,9.3,17,21.3,14.3,7.1,8.1,0.8,2.8,7.8,1.6,5,2.1,1,21,0,6,0,"REPUBLICAN"
"65",26081,0.0906,0.1603,0.0542,0.1057,0.0021,0.0299,0.0923,2e-04,0.7375,"MI",12.6,4.8,31005,9.7,12.9,24.7,11.6,9.5,26,2.9,12.6,3.8,2.2,7.1,1.7,2,12,9,4,2,"DEMOCRAT"
"66",26091,0.1073,0.1892,0.0668,0.0797,0.0031,0.0031,0.0227,2e-04,0.8667,"MI",12.2,5.1,26958,9.2,17.8,21.5,15.7,9.4,13.2,1,3.6,6.4,1.2,5.4,5.3,4,18,3,5,1,"REPUBLICAN"
"67",26093,0.0815,0.1385,0.0499,0.0244,0.0023,0.0091,0.0058,6e-04,0.9434,"MI",5.6,4.2,38399,4.6,15.9,22.2,10.4,5.8,5.6,0.3,4.7,5.3,1,3.3,0.7,1,21,0,6,0,"REPUBLICAN"
"68",26125,0.0719,0.1261,0.0436,0.0412,0.0022,0.0745,0.1351,2e-04,0.72,"MI",8.6,4.8,42760,6.1,15.9,21.5,11.7,6.3,27.7,1.9,11.2,2.8,1.1,5.4,1,1,0,21,0,6,"DEMOCRAT"
"69",26109,0.1087,0.1903,0.0665,0.0182,0.0221,0.0041,0.0032,0,0.9289,"MI",12.8,4.4,27609,7.6,22.9,18.8,18.3,7.6,6.9,0.2,3.7,8.6,1.2,7.8,1.6,7,18,3,5,1,"REPUBLICAN"
"70",26135,0.0976,0.1717,0.06,0.0164,0.0059,0.0015,0.005,5e-04,0.9551,"MI",17.3,12.1,23526,16.7,26.8,19,23.3,7.7,4.3,0.4,1.3,18.7,2.5,7.5,0.9,9,21,0,6,0,"REPUBLICAN"
"71",26127,0.1047,0.1816,0.0644,0.1489,0.0078,0.0022,0.0106,0,0.817,"MI",17,7.4,23018,14.1,20,23.2,17.3,9.1,18.1,2.9,1.2,18.6,4.4,5.4,2.7,6,18,3,5,1,"REPUBLICAN"
"72",26107,0.1125,0.1974,0.0699,0.0229,0.0063,0.008,0.0295,2e-04,0.9121,"MI",21.3,7,23182,10.5,17.7,18.7,15.4,8,8.6,0.1,4.7,15.6,2.1,6.8,6.9,6,21,0,6,0,"REPUBLICAN"
"73",26117,0.1125,0.1974,0.0699,0.035,0.0051,0.0035,0.0208,9e-04,0.9175,"MI",16.5,5.1,23018,12.1,16.6,22.6,17.8,9.8,8.2,0.4,2.7,15,1.8,6.3,4.2,2,21,0,6,0,"REPUBLICAN"
"74",26115,0.0983,0.1685,0.0604,0.0358,0.0024,0.0058,0.0235,1e-04,0.913,"MI",10.6,4.9,30295,8.8,16.9,21.9,13.7,8,8.6,0.3,5.1,7.8,1.2,5.6,0.9,3,13,8,3,3,"REPUBLICAN"
"75",26133,0.1125,0.1974,0.0699,0.0195,0.0073,0.0027,0.011,0,0.9452,"MI",19.6,6.9,22142,11.8,20.2,22.8,18.2,9.1,5.3,0.3,2,18,2.3,8,2.1,9,21,0,6,0,"REPUBLICAN"
"76",26119,0.0976,0.1717,0.06,0.0132,0.0118,0.0015,0.0024,3e-04,0.9586,"MI",16.6,11.6,23930,13.2,30.7,15,24.2,5.1,4,0.1,0.7,12.1,1.5,4.5,1.8,9,21,0,6,0,"REPUBLICAN"
"77",26129,0.1033,0.1808,0.0645,0.0215,0.01,0.0065,0.0033,0,0.9465,"MI",16.9,8,22527,14.5,24.9,18.5,23.3,7.6,5.2,0.2,2.2,11.4,2.7,6.5,1.6,9,17,4,4,2,"REPUBLICAN"
"78",26105,0.1047,0.1816,0.0644,0.0457,0.0097,0.0058,0.009,0,0.9146,"MI",15.1,6.1,28812,7.6,22.4,20.5,16.4,8.3,8.5,0.3,3.9,10.5,1.1,5.8,1.6,7,18,3,5,1,"REPUBLICAN"
"79",26139,0.084,0.1488,0.0514,0.0981,0.0023,0.0263,0.0143,2e-04,0.8385,"MI",8.5,3.9,30558,7.4,14.1,24.4,10.2,6.7,16,1.8,7.5,6.4,1.7,4.4,3.4,2,21,0,6,0,"REPUBLICAN"
"80",30075,0.2639,0.3131,0.1799,0.0317,0.0168,0,0,0,0.9303,"MT",10.4,1.3,30969,5.2,24.3,15.5,16.6,5.7,6.9,0,0,26.6,0,1.2,3,9,21,0,6,0,"REPUBLICAN"
"81",30083,0.2639,0.3131,0.1799,0.0543,0.0198,3e-04,0,0.0016,0.8882,"MT",5.4,2.4,31849,7.7,14.2,24.2,12.9,7.8,10.9,1.6,4.5,16.5,3.1,4.9,0.6,7,21,0,6,0,"REPUBLICAN"
"82",30093,0.2268,0.2694,0.1537,0.0456,0.0203,0.0074,0.0055,1e-04,0.9044,"MT",19.1,5,26224,8.2,18.3,20.2,18.7,7.5,9.6,0.4,9.1,7.2,1.6,9.9,3.4,5,0,21,0,6,"DEMOCRAT"
"83",30073,0.267,0.3233,0.1824,0.0204,0.1517,0.001,0.0013,0,0.8118,"MT",20,6.9,24392,7.4,19.8,25.2,17.1,9.1,18.6,0.8,5.6,14.2,2.1,6.5,3.8,7,21,0,6,0,"REPUBLICAN"
"84",30081,0.2397,0.2895,0.1622,0.035,0.0093,0.0053,0.0011,0,0.9295,"MT",14.3,5.9,27766,9,24.3,19.7,19.8,5,6.9,0,2.5,10,1.7,3.5,0.8,6,21,0,6,0,"REPUBLICAN"
"85",30087,0.2639,0.3131,0.1799,0.0517,0.3686,0.0104,0.0017,0,0.5483,"MT",18.7,7.9,23471,12.9,14.8,29.4,18.4,3.7,44.6,0.1,1.3,20,4.1,4.9,1,9,18,3,5,1,"REPUBLICAN"
"86",30079,0.2639,0.3131,0.1799,0.0128,0.0016,0.008,0,0,0.9776,"MT",11.2,4.7,28087,7.2,28.2,23.5,16,2.4,1.4,0,0,15.2,0,2.2,1.7,9,21,0,6,0,"REPUBLICAN"
"87",31067,0.0891,0.1354,0.0555,0.0254,0.0066,0.0066,0.006,0,0.9447,"NE",9.8,3.4,28438,10.3,20.4,22.2,15.4,5.9,5.3,0.2,3.7,1.7,0.2,4.5,2.8,6,21,0,6,0,"REPUBLICAN"
"88",31031,0.0842,0.1287,0.0516,0.0251,0.0356,0.0048,2e-04,0.0012,0.879,"NE",10.5,1.6,27605,8.7,21.1,21.6,13.7,5.9,11.7,2,4.2,9.6,0.8,5.1,2.1,7,21,0,6,0,"REPUBLICAN"
"89",31057,0.087,0.1318,0.0537,0.1181,0,0,0.0021,0,0.8761,"NE",10.3,1.6,25790,18.1,19.9,26.9,10.6,8.2,16.5,2,0.7,8.7,0,3.5,2.5,9,21,0,6,0,"REPUBLICAN"
"90",31033,0.0842,0.1287,0.0516,0.0699,0.0044,0.0069,0.0083,2e-04,0.895,"NE",10,2.8,32321,6.7,17.9,24,14.3,6.9,10.2,0.1,5.5,4.4,2.7,4.1,1.1,7,21,0,6,0,"REPUBLICAN"
"91",31041,0.0903,0.138,0.0558,0.0321,0.0017,0.0076,0.0016,0,0.9457,"NE",11.2,2.9,33294,7.1,21.6,23.5,13.1,9.7,5.2,0.9,2,3.3,2.2,4.8,1.2,7,21,0,6,0,"REPUBLICAN"
"92",31039,0.0848,0.1288,0.0521,0.1011,0.0018,0.003,0.001,0.0012,0.8811,"NE",7,3.5,29306,12.6,21.6,24.6,10.6,6.8,11.6,1.3,3.6,0.8,0.7,5.3,1.6,7,21,0,6,0,"REPUBLICAN"
"93",31059,0.0891,0.1354,0.0555,0.0393,0.004,0.0056,0.0038,0,0.9364,"NE",10,2.1,32631,8.1,23.3,20.1,15.8,5.3,6.2,0.5,2.4,1.1,0.6,2.4,4.1,8,21,0,6,0,"REPUBLICAN"
"94",31049,0.0842,0.1287,0.0516,0.0852,0.0153,0.006,0.0016,0,0.8782,"NE",10.2,4.8,27397,10.2,24.6,20.4,17.2,5.5,11.1,1.3,1.4,6.7,0.1,3.8,1,9,21,0,6,0,"REPUBLICAN"
"95",31159,0.0891,0.1354,0.0555,0.0263,9e-04,0.0049,0.0055,0,0.9468,"NE",7.5,2.1,30694,5.9,16.7,23.5,10.6,6.6,5.3,0.3,6.1,3.2,0.6,3.2,8.3,2,21,0,6,0,"REPUBLICAN"
"96",31169,0.0891,0.1354,0.0555,0.0259,0.0024,0,0.0049,0,0.949,"NE",8.4,1.1,28793,7.3,25.1,22.2,15.2,5.1,4.7,0.3,1.4,1.8,0.6,4.4,3,9,21,0,6,0,"REPUBLICAN"
"97",31139,0.0848,0.1288,0.0521,0.0153,8e-04,0.0062,0.0021,0.0018,0.9616,"NE",7.3,2.3,29509,5.2,18.5,24.9,11.2,6,3.5,0.5,1.8,5.8,0.4,2.7,1.8,9,21,0,6,0,"REPUBLICAN"
"98",31151,0.0891,0.1354,0.0555,0.2534,0.0025,0.0197,0.0226,0,0.69,"NE",13.5,3.1,22943,15.7,14.2,25.5,11.4,9.1,30.1,7.6,3.6,5.4,3.7,1.6,6.7,6,18,3,5,1,"REPUBLICAN"
"99",31161,0.0842,0.1287,0.0516,0.0552,0.0673,0.008,0.0208,4e-04,0.8111,"NE",18,2.4,27304,9.6,25.1,22.6,18,7.4,18.4,0.6,2.4,10.1,3.2,7.4,2.5,9,21,0,6,0,"REPUBLICAN"
"100",31131,0.0891,0.1354,0.0555,0.0808,7e-04,0.0034,0.0041,0,0.8876,"NE",11.2,2.8,29229,8.5,19,24.1,14.9,7.5,10.8,1.5,3.6,2.9,0.9,6.1,1.4,6,21,0,6,0,"REPUBLICAN"
"101",31153,0.0819,0.1234,0.0496,0.0932,0.0034,0.0253,0.0366,0.0011,0.8096,"NE",5.4,3,34928,4.8,11,27.8,9,8.5,18.6,1.1,14.3,0.8,2.1,2.8,0.7,2,21,0,6,0,"REPUBLICAN"
"102",39035,0.1219,0.1776,0.0713,0.0593,0.0013,0.0301,0.2924,2e-04,0.5892,"OH",18.1,8.3,31804,10.7,17.3,21.1,15.1,10.4,40.8,1.9,18.1,0.6,1.2,13.2,2.3,1,0,21,0,6,"DEMOCRAT"
"103",39045,0.1335,0.1826,0.0796,0.022,5e-04,0.0159,0.0724,5e-04,0.8603,"OH",9.4,4.4,31136,7.6,15.1,24.2,13.7,9.3,13.3,0.7,4.9,2.9,1.7,5.2,2,1,21,0,6,0,"REPUBLICAN"
"104",39025,0.1363,0.1845,0.0816,0.0194,0.0012,0.0125,0.0141,2e-04,0.9352,"OH",9.5,4.2,32900,9.8,15.2,23.6,13.4,7.3,6.3,0.3,11.1,6,1.2,4.8,0.9,1,21,0,6,0,"REPUBLICAN"
"105",39017,0.1336,0.1883,0.0801,0.0471,0.0013,0.0328,0.0798,9e-04,0.8101,"OH",13,5.1,30777,9.7,14,23.8,12.3,9.2,18.5,1.2,9.3,2.6,1.5,5.4,3.1,1,21,0,6,0,"REPUBLICAN"
"106",39037,0.143,0.1969,0.0854,0.0157,0.0029,0.005,0.0075,0,0.9608,"OH",10.1,4.7,26262,9.3,18.9,24,14,7.9,3.8,0.1,1.8,4.4,1.1,5.4,1.3,6,21,0,6,0,"REPUBLICAN"
