"","FIPS","E.Hesitant","E.Hesitant/Unsure","E.V.Hesitant","Hispanic","Native","Asian","Black","Hawaiian.Pacific","White","State","Pov","Unemp","Income","NoHSDP","Age65","Age17","Disab","SNGPNT","MINRTY","LIMENG","MUnit","Mobile","Crowd","NoVeh","GroupQ","RUCC","R.Years","D.Years","R.Cycles","D.Cycles","2020"
"305",1091,0.1808,0.2526,0.139,0.0101,0.0011,0,0.5356,0,0.4488,"AL",21.8,9.7,23056,16.2,18.9,22.9,25,7,55,0.1,1.4,24.6,0.7,10.4,1.2,7,2,19,1,5,"DEMOCRAT"
"306",1035,0.1735,0.2357,0.1337,0.0068,0.002,0.0045,0.4776,0,0.5005,"AL",22.2,11.5,17542,19.2,21.6,21.2,22.8,10.8,49.9,0,0.5,28.7,1.1,6.8,0.4,7,16,5,4,2,"REPUBLICAN"
"307",1045,0.1768,0.2352,0.1344,0.0651,0.0057,0.0122,0.1978,1e-04,0.6857,"AL",18.4,8.8,23837,14.2,16.1,23.4,21.3,8.2,31,1,1.2,18.2,1.7,5.5,2.6,4,21,0,6,0,"REPUBLICAN"
"308",1089,0.145,0.1926,0.109,0.0495,0.0056,0.0262,0.2405,8e-04,0.6468,"AL",13.2,5.8,35526,8.9,14.3,22.1,13.1,8.1,35.1,1.1,10.2,4.4,1.3,4.9,2.5,2,21,0,6,0,"REPUBLICAN"
"309",1119,0.1808,0.2526,0.139,0.0053,7e-04,0.0214,0.7192,0,0.2481,"AL",31.3,12.1,15882,15.8,16.9,19.4,21.8,9.2,75.3,0.4,5.7,30.5,1.3,13.2,6.9,8,0,21,0,6,"DEMOCRAT"
"310",5015,0.2042,0.2445,0.1346,0.1496,0.0074,0.0138,0.005,0.0092,0.7962,"AR",15,4.7,24185,14.2,21.9,22,15.7,4.8,20,3.9,2,15.9,5.5,5.3,1,6,21,0,6,0,"REPUBLICAN"
"311",1055,0.1797,0.2374,0.1364,0.0388,0.0037,0.0074,0.1544,2e-04,0.7786,"AL",17.3,6.5,24065,15.5,18.3,21.6,19.6,8.9,21.9,1.2,3.1,11,1.2,6.3,1.3,3,21,0,6,0,"REPUBLICAN"
"312",5039,0.1967,0.2479,0.1296,0.0135,0.0056,5e-04,0.4322,0.0025,0.5313,"AR",14.3,4.9,19401,16.4,21.3,22.8,23.2,10.2,46.8,0.7,1,25.4,0.4,11.3,9.4,6,20,1,5,1,"REPUBLICAN"
"313",1025,0.1735,0.2357,0.1337,0.0033,0.0011,0.0043,0.4577,0,0.5272,"AL",25.4,14.4,21111,18.8,19,22.1,17.1,7.9,47.1,0.1,1.8,26.5,1.8,10.2,1.5,7,21,0,6,0,"REPUBLICAN"
"314",1109,0.1676,0.2337,0.1274,0.0225,0.0056,0.022,0.3658,1e-04,0.5602,"AL",26.6,8,21137,19,14.6,19.6,17.1,9.6,43.8,1.5,3.9,22,1.6,7.8,5.7,6,21,0,6,0,"REPUBLICAN"
"315",5067,0.2265,0.2777,0.1509,0.0289,0.0015,5e-04,0.122,4e-04,0.7683,"AR",23.3,6.6,19848,21.1,17.3,20.2,22.2,8.4,23,0,1.1,12.2,2.3,6.1,17.4,6,18,3,4,2,"REPUBLICAN"
"316",1099,0.1735,0.2357,0.1337,0.0038,0.0175,0.0027,0.4236,3e-04,0.5427,"AL",30.9,17.5,18890,16.3,18.9,22.9,13.8,8.4,45.7,0.1,1.2,22.6,0.6,11,1.2,7,21,0,6,0,"REPUBLICAN"
"317",5005,0.2042,0.2445,0.1346,0.0238,0.0042,0.0043,0.0016,4e-04,0.9471,"AR",14,4.3,26004,11.8,30.7,17.5,21.2,5.3,5.1,0.1,3.2,15.3,2.3,3.7,1.1,7,21,0,6,0,"REPUBLICAN"
"318",1015,0.1795,0.2354,0.1372,0.038,0.0019,0.0088,0.2066,1e-04,0.7207,"AL",18.6,8.8,24706,15.9,16.8,21.9,20.8,10.4,27.5,1,3.7,14.7,1.7,5.8,2.7,3,21,0,6,0,"REPUBLICAN"
"319",1079,0.1713,0.2221,0.1303,0.0219,0.056,0.002,0.1058,8e-04,0.7649,"AL",16.8,5.7,23557,21,17.4,21.8,20.5,7.3,23.5,0.2,0.8,22.5,1.5,5.5,0.7,3,20,1,5,1,"REPUBLICAN"
